,id,Gaji
0,35994,0
1,35995,0
2,35996,0
3,35997,0
4,35998,0
5,35999,1
6,36000,0
7,36001,0
8,36002,0
9,36003,0
10,36004,0
11,36005,0
12,36006,0
13,36007,0
14,36008,0
15,36009,0
16,36010,0
17,36011,0
18,36012,0
19,36013,0
20,36014,0
21,36015,0
22,36016,0
23,36017,0
24,36018,0
25,36019,0
26,36020,0
27,36021,0
28,36022,0
29,36023,0
30,36024,0
31,36025,0
32,36026,0
33,36027,0
34,36028,0
35,36029,0
36,36030,0
37,36031,0
38,36032,0
39,36033,0
40,36034,0
41,36035,0
42,36036,1
43,36037,0
44,36038,0
45,36039,0
46,36040,0
47,36041,0
48,36042,0
49,36043,0
50,36044,0
51,36045,0
52,36046,0
53,36047,0
54,36048,0
55,36049,0
56,36050,0
57,36051,0
58,36052,0
59,36053,0
60,36054,0
61,36055,1
62,36056,0
63,36057,0
64,36058,1
65,36059,0
66,36060,0
67,36061,0
68,36062,0
69,36063,0
70,36064,0
71,36065,0
72,36066,0
73,36067,0
74,36068,1
75,36069,0
76,36070,0
77,36071,0
78,36072,0
79,36073,1
80,36074,0
81,36075,0
82,36076,0
83,36077,0
84,36078,0
85,36079,0
86,36080,1
87,36081,0
88,36082,0
89,36083,1
90,36084,0
91,36085,0
92,36086,0
93,36087,0
94,36088,0
95,36089,0
96,36090,0
97,36091,0
98,36092,1
99,36093,0
100,36094,0
101,36095,0
102,36096,1
103,36097,0
104,36098,0
105,36099,0
106,36100,0
107,36101,0
108,36102,0
109,36103,0
110,36104,0
111,36105,0
112,36106,0
113,36107,0
114,36108,0
115,36109,0
116,36110,0
117,36111,0
118,36112,0
119,36113,0
120,36114,0
121,36115,0
122,36116,0
123,36117,0
124,36118,0
125,36119,0
126,36120,0
127,36121,0
128,36122,0
129,36123,0
130,36124,0
131,36125,0
132,36126,0
133,36127,0
134,36128,1
135,36129,0
136,36130,0
137,36131,0
138,36132,0
139,36133,0
140,36134,0
141,36135,0
142,36136,0
143,36137,0
144,36138,0
145,36139,0
146,36140,0
147,36141,1
148,36142,0
149,36143,0
150,36144,0
151,36145,0
152,36146,0
153,36147,0
154,36148,0
155,36149,0
156,36150,0
157,36151,0
158,36152,1
159,36153,0
160,36154,1
161,36155,0
162,36156,0
163,36157,0
164,36158,0
165,36159,0
166,36160,0
167,36161,0
168,36162,0
169,36163,0
170,36164,0
171,36165,0
172,36166,0
173,36167,0
174,36168,0
175,36169,0
176,36170,0
177,36171,0
178,36172,0
179,36173,0
180,36174,0
181,36175,0
182,36176,0
183,36177,0
184,36178,0
185,36179,0
186,36180,0
187,36181,0
188,36182,0
189,36183,0
190,36184,0
191,36185,0
192,36186,0
193,36187,0
194,36188,0
195,36189,0
196,36190,0
197,36191,0
198,36192,0
199,36193,0
200,36194,1
201,36195,0
202,36196,0
203,36197,0
204,36198,0
205,36199,1
206,36200,0
207,36201,0
208,36202,1
209,36203,0
210,36204,0
211,36205,1
212,36206,0
213,36207,0
214,36208,0
215,36209,0
216,36210,0
217,36211,0
218,36212,0
219,36213,1
220,36214,0
221,36215,0
222,36216,0
223,36217,0
224,36218,0
225,36219,0
226,36220,0
227,36221,0
228,36222,1
229,36223,0
230,36224,1
231,36225,0
232,36226,0
233,36227,0
234,36228,0
235,36229,0
236,36230,0
237,36231,0
238,36232,0
239,36233,0
240,36234,0
241,36235,0
242,36236,1
243,36237,0
244,36238,0
245,36239,0
246,36240,0
247,36241,0
248,36242,0
249,36243,0
250,36244,0
251,36245,0
252,36246,0
253,36247,1
254,36248,0
255,36249,0
256,36250,0
257,36251,0
258,36252,0
259,36253,0
260,36254,0
261,36255,0
262,36256,0
263,36257,0
264,36258,0
265,36259,0
266,36260,0
267,36261,0
268,36262,0
269,36263,0
270,36264,0
271,36265,0
272,36266,0
273,36267,0
274,36268,1
275,36269,0
276,36270,0
277,36271,0
278,36272,1
279,36273,0
280,36274,0
281,36275,0
282,36276,0
283,36277,0
284,36278,0
285,36279,0
286,36280,0
287,36281,0
288,36282,0
289,36283,0
290,36284,0
291,36285,0
292,36286,0
293,36287,0
294,36288,0
295,36289,1
296,36290,0
297,36291,0
298,36292,0
299,36293,0
